route,title,cluster,template,intent,primary_target,wave,mobile_note
/guides/rcd-keeps-tripping-guide,RCD Keeps Tripping Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/rcd-keeps-tripping-causes-and-fixes,RCD Keeps Tripping Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/rcd-keeps-tripping-test-sequence,RCD Keeps Tripping Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/rcd-keeps-tripping-common-causes,RCD Keeps Tripping Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/rcbo-keeps-tripping-guide,RCBO Keeps Tripping Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/rcbo-keeps-tripping-causes-and-fixes,RCBO Keeps Tripping Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/rcbo-keeps-tripping-test-sequence,RCBO Keeps Tripping Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/rcbo-keeps-tripping-common-causes,RCBO Keeps Tripping Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/mcb-keeps-tripping-guide,MCB Keeps Tripping Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/mcb-keeps-tripping-causes-and-fixes,MCB Keeps Tripping Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
